parameter_name,Shape of ribcage
pvalue,0.3258373
mouse_strain,C57BL
gene_symbol,Frmpd1
gene_accession_id,MGI:2446274
parameter_id,IMPC_XRY_059_001
mouse_life_stage,Late adult
analysis_id,3u1ax40kydeqo09
