mouse_life_stage,Early adult
parameter_name,B Cells
parameter_id,IMPC_IMM_063_001
mouse_strain,C57BL
gene_symbol,Rap2b
gene_accession_id,MGI:1921262
pvalue,0.8919123
analysis_id,7lq9l2q1107u04b
