parameter_name,Haemoglobin
gene_accession_id,MGI:3650254
mouse_strain,C57BL
parameter_id,ESLIM_016_001_003
analysis_id,10j130v778u8j21
pvalue,0.656117
mouse_life_stage,Early adult
gene_symbol,Zfp683
