gene_symbol,Secisbp2l
mouse_life_stage,Early adult
parameter_name,Eosinophils
analysis_id,248t1273pv0652a
gene_accession_id,MGI:1917604
pvalue,0.3456952
mouse_strain,C57BL
parameter_id,IMPC_IMM_052_001
