analysis_id,4j27c9dth2391t8
gene_accession_id,MGI:1914061
parameter_id,MGP_MLN_021_001
mouse_strain,C57BL
pvalue,0.9233437
gene_symbol,Duoxa2
parameter_name,KLRG1+ gd T cells - % of gd T cells
mouse_life_stage,Early adult
