analysis_id,080c0u9416a075s
gene_symbol,Snap23
mouse_life_stage,Early adult
gene_accession_id,MGI:109356
parameter_name,MZB (CD21/35 high)
mouse_strain,C57BL
pvalue,0.4994416
parameter_id,IMPC_IMM_071_001
