analysis_id,572ygmzl0z13kh9
mouse_life_stage,Early adult
pvalue,0.2038226
gene_symbol,Rap2b
parameter_id,MGP_PBI_034_001
parameter_name,B cell number
gene_accession_id,MGI:1921262
mouse_strain,C57BL
