analysis_id,11l0kvx4n1s98l1
mouse_life_stage,Early adult
mouse_strain,129SV
parameter_name,Skull shape
pvalue,0.3861374
gene_symbol,Ddx27
gene_accession_id,MGI:2385884
parameter_id,IMPC_XRY_001_001
