analysis_id,uacwd5j195e3afz
mouse_strain,C57BL
mouse_life_stage,Early adult
parameter_id,IMPC_DXA_007_001
pvalue,0.4540406
gene_symbol,Gfi1b
gene_accession_id,MGI:1276578
parameter_name,BMC/Body weight
