analysis_id,96x3b130xj9c4d2
parameter_name,Resting Treg cells - % of CD45+
pvalue,0.5691102
mouse_strain,C57BL
gene_accession_id,MGI:88328
mouse_life_stage,Early adult
gene_symbol,Tnfsf8
parameter_id,MGP_IMM_078_001
