parameter_name,cDCs CD11b Type
mouse_life_stage,Early adult
parameter_id,IMPC_IMM_073_001
gene_symbol,Pum1
mouse_strain,C57BL
pvalue,0.4258264
analysis_id,t020g532vh5374i
gene_accession_id,MGI:1931749
