parameter_name,Tibia length
gene_accession_id,MGI:107414
pvalue,0.9814985
mouse_life_stage,Early adult
mouse_strain,C57BL
analysis_id,t8m61uw41j7y196
gene_symbol,Tnfsf10
parameter_id,IMPC_XRY_033_001
