analysis_id,ak7zcb0z6k853i6
gene_accession_id,MGI:3033992
pvalue,0.1432952
mouse_life_stage,Early adult
gene_symbol,Cldn19
mouse_strain,C57BL
parameter_id,MGP_IMM_125_001
parameter_name,Eosinophils - % of CD45+
