analysis_id,8xd3ak23ahfd1p5
parameter_name,Time mobile light side
mouse_life_stage,Early adult
parameter_id,JAX_LDT_003_001
gene_symbol,Psmd14
pvalue,0.3310541
gene_accession_id,MGI:1913284
mouse_strain,C57BL
