gene_symbol,Bpifa3
analysis_id,ees29ahyup3o69v
gene_accession_id,MGI:1920638
mouse_strain,C57BL
pvalue,0.6985376
parameter_name,B Cells
mouse_life_stage,Early adult
parameter_id,IMPC_IMM_063_001
