gene_symbol,Cntfr
parameter_name,Clavicle
parameter_id,IMPC_XRY_007_001
mouse_strain,129SV
gene_accession_id,MGI:99605
mouse_life_stage,Early adult
analysis_id,z10pilkbzd9797v
pvalue,0.7224691
