analysis_id,mumff1n8mx013by
gene_accession_id,MGI:1919107
mouse_strain,C57BL
mouse_life_stage,Early adult
pvalue,0.06221563
parameter_name,Effector CD4+ T helper cells - % of CD4+ T helper cells
parameter_id,MGP_IMM_006_001
gene_symbol,Slc17a9
