analysis_id,0r21na66brp5590
gene_symbol,Trp53rkb
mouse_strain,C57BL
mouse_life_stage,Early adult
pvalue,0.6130832
parameter_name,Hindlimbs - shape
gene_accession_id,MGI:1914050
parameter_id,JAXLA_CSD_021_001
