analysis_id,20o16853205tc2g
pvalue,0.6417343
parameter_id,JAXLA_HBD_001_001
mouse_life_stage,Early adult
mouse_strain,C57BL
gene_symbol,Pglyrp3
parameter_name,Total holepokes
gene_accession_id,MGI:2685266
