analysis_id,x2g5wgi8g19z1cq
gene_accession_id,MGI:894679
pvalue,0.3927165
gene_symbol,Bach2
mouse_life_stage,Early adult
parameter_name,Effector gd T cells - % of gd T cells
parameter_id,MGP_IMM_020_001
mouse_strain,C57BL
