analysis_id,6anb7y0c0k3f295
pvalue,0.3630565
mouse_strain,C57BL
parameter_id,IMPC_IMM_063_001
mouse_life_stage,Early adult
gene_symbol,Tatdn3
gene_accession_id,MGI:1916222
parameter_name,B Cells
