gene_symbol,Atf3
gene_accession_id,MGI:109384
mouse_strain,C57BL
analysis_id,p2t51sqpk5ip593
pvalue,0.3333865
parameter_id,IMPC_XRY_025_001
parameter_name,Tibia
mouse_life_stage,Early adult
