parameter_id,IMPC_XRY_024_001
pvalue,0.6889227
analysis_id,x9689znzb997hzj
mouse_strain,C57BL
gene_symbol,Nucks1
parameter_name,Femur
gene_accession_id,MGI:1934811
mouse_life_stage,Late adult
