analysis_id,ud3tjygc1p6j29v
parameter_name,Neutrophil cell count
gene_accession_id,MGI:2444777
gene_symbol,Ncaph
pvalue,0.774977
mouse_strain,C57BL
mouse_life_stage,Early adult
parameter_id,IMPC_HEM_030_001
