analysis_id,z4271918w9j7i76
parameter_id,HRWLLA_CBC_014_001
mouse_life_stage,Early adult
pvalue,0.1630867
gene_symbol,Atf3
parameter_name,Alkaline phosphatase
mouse_strain,C57BL
gene_accession_id,MGI:109384
