analysis_id,1f20krtd75gl652
mouse_life_stage,E12.5
pvalue,0.6064263
parameter_name,Center distance travelled
gene_symbol,Bcs1l
gene_accession_id,MGI:1914071
mouse_strain,C57BL
parameter_id,JAX_OFD_014_001
