parameter_name,Heart looping
pvalue,0.4224051
gene_symbol,Zfp683
gene_accession_id,MGI:3650254
mouse_strain,C57BL
mouse_life_stage,Early adult
parameter_id,IMPC_GEL_057_001
analysis_id,pj220r199a95417
