gene_symbol,Arpc5l
pvalue,0.7204586
analysis_id,n7l31w0z4rd5ty8
mouse_life_stage,Early adult
mouse_strain,C57BL
parameter_id,MGP_PBI_033_001
gene_accession_id,MGI:1921442
parameter_name,CD8+ KLRG1+ alpha beta T cell number
