gene_symbol,Kifap3
gene_accession_id,MGI:107566
analysis_id,254i23t3dvp6aux
mouse_strain,C57BL
parameter_name,Mean-corpuscular-haemoglobin
mouse_life_stage,Early adult
parameter_id,M-G-P_016_001_006
pvalue,0.4919148
