parameter_name,Fasted blood glucose concentration
mouse_strain,C57BL
parameter_id,IMPC_IPG_010_001
analysis_id,429p9qcfjhbsvkb
gene_symbol,Ddx27
gene_accession_id,MGI:2385884
pvalue,0.4758696
mouse_life_stage,Early adult
