parameter_name,Liver weight
parameter_id,UCD_OWT_008_001
mouse_life_stage,Early adult
pvalue,0.757209
gene_accession_id,MGI:2444113
analysis_id,tfivf48ck118k25
mouse_strain,C57BL
gene_symbol,Nemp2
