analysis_id,x0e2t1z2n6rm063
pvalue,0.5616466
gene_accession_id,MGI:1920638
parameter_id,IMPC_ECG_008_001
mouse_strain,129SV
parameter_name,ST
mouse_life_stage,Early adult
gene_symbol,Bpifa3
