analysis_id,17xym1xscxjo3bn
mouse_life_stage,Early adult
pvalue,0.8901212
parameter_name,Neural tube closure
gene_symbol,Sdcbp2
parameter_id,IMPC_GEL_027_001
gene_accession_id,MGI:2385156
mouse_strain,C57BL
