gene_symbol,Ddx27
parameter_name,Eye
mouse_life_stage,Early adult
mouse_strain,129SV
parameter_id,IMPC_EYE_001_001
gene_accession_id,MGI:2385884
analysis_id,1589s06470941w9
pvalue,0.9854851
