analysis_id,2mofy5muybc65rx
gene_symbol,Cisd2
mouse_strain,C57BL
gene_accession_id,MGI:1914256
mouse_life_stage,Early adult
parameter_name,Narrow eye opening
parameter_id,IMPC_EYE_006_001
pvalue,0.06742919
