gene_symbol,Cdin1
parameter_name,Right total retinal thickness
mouse_strain,C57BL
pvalue,0.7440226
parameter_id,IMPC_EYE_062_001
mouse_life_stage,Early adult
analysis_id,ovs752q03wrgd64
gene_accession_id,MGI:3026886
