analysis_id,ry9227aj9d31ykp
gene_accession_id,MGI:95457
gene_symbol,Mecom
mouse_strain,C57BL
mouse_life_stage,E15.5
parameter_name,Thyroxine
pvalue,0.06749561
parameter_id,IMPC_CBC_053_001
