analysis_id,y8xhb53oh75j748
parameter_name,Lumbar processes
mouse_strain,C57BL
gene_accession_id,MGI:2135738
parameter_id,IMPC_XRY_065_001
gene_symbol,Abo
pvalue,0.1598063
mouse_life_stage,Early adult
