parameter_name,Limb coat/hair presence
analysis_id,xj7531i6shw26i4
pvalue,0.451709
gene_symbol,Nr0b2
mouse_strain,B6J
parameter_id,MGP_CSD_030_001
gene_accession_id,MGI:1346344
mouse_life_stage,Early adult
