mouse_strain,129SV
analysis_id,m61glz11vy67165
gene_symbol,Zmynd8
pvalue,0.8465382
gene_accession_id,MGI:1918025
parameter_id,JAXLA_CSD_023_001
mouse_life_stage,Early adult
parameter_name,Vibrissae - presence
