parameter_name,Ventral coat/hair presence
pvalue,0.2364352
analysis_id,w35dp77ej34h7qi
mouse_life_stage,Early adult
gene_accession_id,MGI:2684980
parameter_id,MGP_CSD_025_001
gene_symbol,Mms22l
mouse_strain,C51BL
