analysis_id,76i10ic6aj7dy8z
gene_accession_id,MGI:1914583
mouse_life_stage,Early adult
parameter_id,IMPC_IMM_005_002
parameter_name,NK cells (Panel A) - % of live leukocytes (Panel A)
mouse_strain,C57BL
pvalue,0.502143
gene_symbol,Stk35
