analysis_id,y842c664gqjm1sj
gene_accession_id,MGI:2685053
mouse_life_stage,Early adult
pvalue,0.5009991
gene_symbol,Ntmt2
mouse_strain,C57BL
parameter_name,Total T cells - % of CD45+
parameter_id,MGP_IMM_001_001
