analysis_id,16z3fc2d24ibiq7
mouse_strain,C57BL
gene_accession_id,MGI:1913483
parameter_id,IMPC_DXA_006_001
gene_symbol,Dmap1
pvalue,0.1220828
parameter_name,Body length
mouse_life_stage,E9.5
