gene_symbol,Trpa1
parameter_id,IMPC_IMM_005_002
analysis_id,3j14s0f9xp7gd9g
pvalue,0.8575908
gene_accession_id,MGI:3522699
parameter_name,NK cells (Panel A) - % of live leukocytes (Panel A)
mouse_life_stage,Early adult
mouse_strain,C57BL
