parameter_id,IMPC_ECH_008_001
analysis_id,zm2102934v81047
mouse_life_stage,E18.5
gene_symbol,Zyg11b
pvalue,0.3260139
gene_accession_id,MGI:2685277
mouse_strain,C57BL
parameter_name,LVIDd
