analysis_id,4823w8aiqj7tv5t
mouse_life_stage,Early adult
parameter_name,Effector gd T cells - % of gd T cells
gene_accession_id,MGI:1918025
parameter_id,MGP_IMM_020_001
mouse_strain,C57BL
gene_symbol,Zmynd8
pvalue,0.3221493
