parameter_id,MGP_PBI_031_001
gene_symbol,Ddx27
mouse_strain,129SV
pvalue,0.4683675
mouse_life_stage,Early adult
gene_accession_id,MGI:2385884
analysis_id,8xe2beisad6nq88
parameter_name,KLRG1+ mature NK cell number
