analysis_id,n60w8972r4z1l9o
gene_accession_id,MGI:2135738
parameter_id,M-G-P_006_001_026
pvalue,0.8320685
mouse_strain,C57BL
gene_symbol,Abo
parameter_name,Fusion of vertebrae
mouse_life_stage,Early adult
