analysis_id,222r367ajtnvs56
parameter_id,IMPC_CBC_009_001
gene_symbol,Zmynd8
mouse_strain,129SV
parameter_name,Calcium
gene_accession_id,MGI:1918025
pvalue,0.4121343
mouse_life_stage,Early adult
