Gene_symbol,Mgst2
Mouse_life_stage,Early adult
Pvalue,0.9576875
parameter_id,M-G-P_016_001_006
Parameter_name,Mean-corpuscular-haemoglobin
analysis_id,qb0j0288k5u17g8
Mouse_strain,C57BL
Gene_accession_id,MGI:2448481
