gene_symbol,Ifi44
parameter_id,IMPC_ECH_001_001
gene_accession_id,MGI:2443016
parameter_name,End-Systolic Diameter
mouse_life_stage,Early adult
analysis_id,02bo337t954h15m
pvalue,0.2383107
mouse_strain,C57BL
