analysis_id,5je5lo4lt8dhc1o
gene_symbol,Mapkap1
parameter_id,MGP_PBI_019_001
parameter_name,Neutrophil percentage
mouse_strain,C57BL
gene_accession_id,MGI:2444554
pvalue,0.6373422
mouse_life_stage,E12.5
