parameter_name,Others
mouse_strain,C57BL
gene_accession_id,MGI:104805
parameter_id,IMPC_IMM_006_001
mouse_life_stage,Early adult
pvalue,0.65608
analysis_id,r50x80t6wf4q9hf
gene_symbol,Snrpb2
