mouse_strain,C57BL
pvalue,0.625518
analysis_id,6j9b23xsd19c0ap
mouse_life_stage,Early adult
gene_accession_id,MGI:1922745
parameter_id,IMPC_OFD_020_001
gene_symbol,Morn5
parameter_name,Distance travelled - total
