analysis_id,k163wbo4fag4f3w
mouse_strain,C57BL
mouse_life_stage,Early adult
gene_accession_id,MGI:2670995
parameter_name,Retina (combined)
gene_symbol,Trp53i11
parameter_id,IMPC_EYE_092_002
pvalue,0.7989588
