analysis_id,b1530sw3337r215
mouse_life_stage,Early adult
mouse_strain,C57BL
pvalue,0.8689883
gene_accession_id,MGI:2670995
parameter_name,CD4+ alpha beta T cell percentage
gene_symbol,Trp53i11
parameter_id,MGP_PBI_003_001
