analysis_id,5egz9g7sm2w2h0s
gene_accession_id,MGI:1888742
mouse_life_stage,Early adult
parameter_id,IMPC_ABR_006_001
parameter_name,12kHz-evoked ABR Threshold
mouse_strain,C57BL
pvalue,0.6715638
gene_symbol,Extl1
