analysis_id,t4r0ctutrtt88d0
parameter_name,Plasmacytoid DC - % of DC
pvalue,0.08309547
parameter_id,MGP_MLN_058_001
gene_accession_id,MGI:1924054
mouse_strain,C57BL
gene_symbol,Kdm4c
mouse_life_stage,Early adult
