gene_symbol,Trpa1
parameter_name,Body Weight
gene_accession_id,MGI:3522699
analysis_id,930962wa49p632k
mouse_life_stage,Early adult
pvalue,0.9777266
mouse_strain,C57BL
parameter_id,M-G-P_020_001_001
