analysis_id,07h77bp1x218674
parameter_name,KLRG1+ CD4- NKT cells - % of CD4- NKT cells
mouse_life_stage,Early adult
parameter_id,MGP_IMM_028_001
pvalue,0.6629356
gene_accession_id,MGI:1345282
mouse_strain,C57BL
gene_symbol,Slc30a4
