parameter_id,ESLIM_004_001_701
parameter_name,Glucose response AUC
mouse_life_stage,Early adult
gene_accession_id,MGI:1346344
analysis_id,ll456ma218p4t8d
pvalue,0.5656255
gene_symbol,Nr0b2
mouse_strain,B6J
