mouse_life_stage,Middle aged adult
analysis_id,231ooud684641rw
parameter_name,Aggression
gene_symbol,Hpca
parameter_id,IMPC_CSD_079_001
gene_accession_id,MGI:1336200
pvalue,0.7015494
mouse_strain,C57BL
