analysis_id,a8tp2x234t284z8
parameter_name,Tremor
gene_symbol,Gfi1b
mouse_strain,C57BL
pvalue,0.772242
mouse_life_stage,Early adult
parameter_id,TCPLA_CSD_030_001
gene_accession_id,MGI:1276578
